Text,Speaker,Start Time,End Time
Okay.,Unknown,00:00:02.480,00:00:02.920
Perfect.,Unknown,00:00:02.920,00:00:03.720
Um.,Unknown,00:00:03.920,00:00:04.120
"And sorry, uh, Lucy.",Unknown,00:00:04.120,00:00:06.480
And your son's name is Charlie.,Unknown,00:00:06.480,00:00:09.440
Charlie.,Unknown,00:00:09.880,00:00:10.280
Nice to meet you.,Unknown,00:00:10.280,00:00:11.240
"Um, Charlie, I have a couple of things that I",Unknown,00:00:11.880,00:00:13.960
want to ask you.,Unknown,00:00:13.960,00:00:14.800
"First and foremost, just ask if.",Unknown,00:00:14.840,00:00:16.400
If it's all right with you.,Unknown,00:00:16.400,00:00:17.400
If we do certain things and just give you a,Unknown,00:00:17.400,00:00:19.080
"little bit of details about the study that we're doing,",Unknown,00:00:19.080,00:00:22.560
"and if you have any questions about anything, you can",Unknown,00:00:22.800,00:00:24.640
just let me know.,Unknown,00:00:24.640,00:00:25.560
"Um, so I'm just going to share my screen with",Unknown,00:00:26.200,00:00:28.360
you quickly.,Unknown,00:00:28.360,00:00:29.200
"And I have this little form, um, for you.",Unknown,00:00:29.200,00:00:33.720
"Um, just basically explaining the research that we're doing.",Unknown,00:00:34.080,00:00:36.920
"Um, so we're a group of researchers, we work at",Unknown,00:00:37.480,00:00:39.520
"UCL, and, um, we're looking at interactions between parents and",Unknown,00:00:39.520,00:00:44.160
their children.,Unknown,00:00:44.160,00:00:45.040
"Um, and that's what you guys will be taking part",Unknown,00:00:45.360,00:00:48.880
in today.,Unknown,00:00:48.880,00:00:49.720
"Um, and the game that you guys are going to",Unknown,00:00:50.280,00:00:52.000
play takes about ten minutes.,Unknown,00:00:52.000,00:00:53.360
So it's very quick.,Unknown,00:00:53.360,00:00:54.400
"Um, and you don't need any gaming skills, so don't",Unknown,00:00:55.120,00:00:58.120
"worry if, you know, maybe that's not something you're super",Unknown,00:00:58.120,00:01:01.340
familiar with.,Unknown,00:01:01.340,00:01:02.220
"Um, and of course, the video I'm taking and all",Unknown,00:01:03.100,00:01:06.500
the data that we get from you is going to,Unknown,00:01:06.500,00:01:08.100
"be stored safely and securely, and no one will be",Unknown,00:01:08.100,00:01:11.100
"able to access it except, um, our research team.",Unknown,00:01:11.100,00:01:14.340
Okay.,Unknown,00:01:14.740,00:01:15.220
Um.,Unknown,00:01:15.260,00:01:15.860
Okay.,Unknown,00:01:16.940,00:01:17.220
With you?,Unknown,00:01:17.220,00:01:17.540
Yeah.,Unknown,00:01:17.700,00:01:18.020
Okay.,Unknown,00:01:18.140,00:01:18.500
Is that all right with you?,Unknown,00:01:18.740,00:01:19.980
Yeah.,Unknown,00:01:20.420,00:01:20.780
It's fine.,Unknown,00:01:20.820,00:01:21.500
"Okay, great.",Unknown,00:01:21.940,00:01:22.820
"Um, and just to mention, you don't have to take",Unknown,00:01:23.140,00:01:25.620
part today if you don't want to.,Unknown,00:01:25.620,00:01:27.060
"It's only, uh, if you want to.",Unknown,00:01:27.100,00:01:28.980
"Um, so just let me know if you're not comfortable.",Unknown,00:01:29.500,00:01:32.420
"Um, and you can always email me after if you",Unknown,00:01:33.020,00:01:35.300
have any questions.,Unknown,00:01:35.300,00:01:36.500
"Um, and I think that's pretty much everything.",Unknown,00:01:37.180,00:01:41.260
"Um, is that all clear for you?",Unknown,00:01:41.420,00:01:42.820
Yeah.,Unknown,00:01:43.180,00:01:43.340
